EVENT_DATE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,LOCATION,LATITUDE,LONGITUDE,SOURCE_SCALE,FATALITIES
03-May-2018,Battles,Armed clash,TCP: Pure Third Command,CV: Red Command,Rio de Janeiro - North Zone,-22.857,-43.301,New media,0
05-March-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Rio de Janeiro - North Zone,-22.857,-43.301,Subnational,1
14-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Campos dos Goytacazes,-21.763,-41.319,New media,0
14-March-2018,Violence against civilians,Attack,Unidentified Armed Group (Brazil),Civilians (Brazil),Estancia,-11.268,-37.438,Subnational-National,1
03-August-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Ceara-Mirim,-5.639,-35.424,Subnational-National,0
14-November-2018,Riots,Violent demonstration,Rioters (Brazil),Military Forces of Brazil (2016-2018) Military Police,Petropolis,-22.512,-43.177,National,0
31-March-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Jardinopolis,-21.026,-47.771,National,1
30-June-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Goiania,-16.679,-49.254,Subnational,1
19-October-2018,Battles,Armed clash,Unidentified Gang (Brazil),Police Forces of Brazil (2016-2018),Santa Cruz do Capibaribe,-7.948,-36.206,National,2
31-July-2018,Strategic developments,Looting/property destruction,Unidentified Armed Group (Brazil),Civilians (Brazil),Londrina,-23.31,-51.163,National,0
01-February-2018,Violence against civilians,Attack,Unidentified Gang (Brazil),Civilians (Brazil),Aparecida de Goiania,-16.82,-49.247,Subnational,1
06-January-2018,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Feira de Santana,-12.267,-38.967,Subnational,1
20-July-2018,Battles,Armed clash,Unidentified Gang (Brazil),Unidentified Gang (Brazil),Maceio,-9.666,-35.735,Subnational,1
18-July-2018,Battles,Armed clash,Unidentified Armed Group (Brazil),Unidentified Armed Group (Brazil),Rio de Janeiro - West Zone,-22.915,-43.488,New media,0
18-March-2018,Battles,Armed clash,CV: Red Command,FDN: Family of the North,Presidente Figueiredo,-2.049,-60.025,National,3
15-July-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Manaus,-3.102,-60.025,National,1
14-February-2018,Battles,Armed clash,Unidentified Gang (Brazil),Military Forces of Brazil (2016-2018) Military Police,Aracaju,-10.911,-37.072,Subnational-National,3
23-August-2018,Battles,Armed clash,Unidentified Gang and/or Police Militia,Unidentified Gang (Brazil),Manaus,-3.102,-60.025,Subnational,4
